rank,rating,reviews,weighted_score,dist_m,price,category,title,maps_url,address,web
1,5,353,4.948,2975,,Gas station,Топливный БАК UA🇺🇦,https://maps.google.com/?cid=8006316942332190435,"Пащенковская, 16, Kharkiv, Kharkiv Oblast, Ukraine, 61017",
2,5,5,4.218,1772,,Gas station,UPG (На реконструкції),https://maps.google.com/?cid=17968419221349031155,"Yevhena Kotliara St, 5, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://upg.ua/
3,5,2,4.111,4474,,Gas station,UPG,https://maps.google.com/?cid=18393491730018344876,"Sokilnytska St, 30, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://upg.ua/
4,5,1,4.068,139,,Gas station,flp kotlyarov s.s,https://maps.google.com/?cid=12935000333036124341,"st.mira, 27, Kharkiv, Kharkivs'ka oblast, Ukraine, 61000",http://rele.in.ua/
5,5,1,4.068,2701,,Gas station,Журавлівський узвіз,https://maps.google.com/?cid=10093772603881379203,"Students'kyi Ln, 8, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
6,5,1,4.068,3375,,Gas station,AZMOL British Petrochemicals,https://maps.google.com/?cid=6242342762469186379,"Kharkiv, Kharkiv Oblast, Ukraine, 61000",
7,5,1,4.068,1521,,Gas station,UPG,https://maps.google.com/?cid=939214880180723695,"Pishchana St, 13-А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://upg.ua/
8,4.7,7,4.198,3430,,Gas station,"Нефтебаза, лаборатория по качеству нефтепродуктов",https://maps.google.com/?cid=14721465792044145729,"Horbachivska St, 1, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
9,4.6,226,4.553,3376,,Gas station,"АГЗС Rodnik ""Біологічна""",https://maps.google.com/?cid=1794065556276758126,"й, Biolohichna St, 6, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://rodnik.ua/
10,4.5,473,4.481,1028,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=10903799232453956388,"Mar'ins'ka St, 2-Б, Kharkiv, Kharkiv Oblast, Ukraine, 61153",https://socar.ua/
11,4.5,439,4.479,3477,,Gas station,UPG,https://maps.google.com/?cid=2180484702297152307,"Akademika Pavlova St, 18, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://upg.ua/
12,4.5,378,4.476,2625,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=2154819550374751954,"Profesora Otamanovskoho St, 4 А, Kharkiv, Kharkiv Oblast, Ukraine, 61166",https://socar.ua/
13,4.5,205,4.458,3340,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=8293101327078662475,"Moskalivska St, 131а, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://socar.ua/
14,4.5,26,4.292,2551,,Gas station,Global,https://maps.google.com/?cid=15465762411584244329,"Klochkivska St, 166, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
15,4.5,0,0,625,,Gas station,Station,https://maps.google.com/?cid=10283933519490897622,"Heroiv Kharkova Ave, 16, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
16,4.5,0,0,2401,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=876953591072616517,"Heroiv Kharkova Ave, 109 А, Kharkiv, Kharkiv Oblast, Ukraine, 61050",https://socar.ua/
17,4.4,841,4.391,3609,,Gas station,Okko,https://maps.google.com/?cid=13979584770955465164,"Vulytsya Virynsʹka, 1А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://www.okko.ua/
18,4.4,835,4.391,6670,,Gas station,OKKO,https://maps.google.com/?cid=1147240953784687015,"Zoryana St, 2А, Kharkiv, Kharkivs'ka oblast, Ukraine, 61000",https://www.okko.ua/
19,4.4,395,4.382,7653,,Gas station,БРСМ Нафта,https://maps.google.com/?cid=813470831230754391,"Zalyutyns'ka St, 16, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
20,4.4,249,4.372,3475,,Gas station,"АГЗС Rodnik ""Академіка Павлова""",https://maps.google.com/?cid=8620716466595711309,"Akademika Pavlova Ln, 18а, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://rodnik.ua/
21,4.4,221,4.369,5930,,Gas station,"АГЗС Rodnik ""Льва Ландау""",https://maps.google.com/?cid=10873953928161191520,"Prospect Lev Landau, 241б, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://rodnik.ua/
22,4.4,215,4.368,7654,,Gas station,"АГЗС Rodnik ""Аерокосмічний""",https://maps.google.com/?cid=1157096852499553964,"Aerokosmichnyi Ave, 316-Ж, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://rodnik.ua/
23,4.4,141,4.353,5669,,Gas station,АЗК БРСМ Нафта - Turbota Pro,https://maps.google.com/?cid=16200332355582111073,"Zalyutyns'ka St, 3, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://brsm-nafta.com/
24,4.4,0,0,605,,Gas station,Okko,https://maps.google.com/?cid=806667600579668996,"Klochkivska St, 44, Kharkiv, Kharkivs'ka oblast, Ukraine, 61058",https://www.okko.ua/
25,4.3,1569,4.296,3330,,Gas station,Okko,https://maps.google.com/?cid=10894152071353314484,"Klochkivska St, 197-Е, Kharkiv, Kharkivs'ka oblast, Ukraine, 61145",https://www.okko.ua/
26,4.3,1017,4.295,4332,,Gas station,OKKO,https://maps.google.com/?cid=8545463780281298008,"Derevianka St, 23А, Kharkiv, Kharkivs'ka oblast, Ukraine, 61000",https://www.okko.ua/
27,4.3,811,4.293,5432,,Gas station,WOG gas stations,https://maps.google.com/?cid=17211169765463151491,"Chutivska St, 1, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://wog.ua/
28,4.3,541,4.29,3041,,Gas station,АЗС WOG,https://maps.google.com/?cid=8339111084943446323,"Oleha Hromadskoho St, 4, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://wog.ua/
29,4.3,530,4.29,1414,,Gas station,WOG,https://maps.google.com/?cid=4530089858668066964,"Shevchenka St, 41, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://wog.ua/
30,4.3,501,4.289,4737,,Gas station,WOG,https://maps.google.com/?cid=15394197132739016121,"Heroiv Kharkova Ave, 197/2, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://wog.ua/
31,4.3,345,4.285,2858,,Gas station,OKKO,https://maps.google.com/?cid=17138480461839174910,"Hrekivska St, 112, Kharkiv, Kharkivs'ka oblast, Ukraine, 61010",https://www.okko.ua/
32,4.3,157,4.269,5916,,Gas station,АЗС Б-Сеть Полтинник,https://maps.google.com/?cid=13468041325989336980,"Avtostradna St, 193, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://www.instagram.com/b.set.kharkov/
33,4.3,141,4.265,4374,,Gas station,Ukrhazvydobuvannya,https://maps.google.com/?cid=4551214039983577337,"Rivnenska St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
34,4.3,10,4.115,2411,,Gas station,Шиносервис на Серповой,https://maps.google.com/?cid=4986436442883265632,"Spetspidrozdilu Kraken St, 4, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://vk.com/tire_service_kh
35,4.2,905,4.196,4861,,Gas station,БРСМ Нафта,https://maps.google.com/?cid=10215662141463859424,"Heroiv Kharkova Ave, 195А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
36,4.2,855,4.196,1956,,Gas station,WOG,https://maps.google.com/?cid=18432889956316097792,"Малопанасівський в'їзд, б.1, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://wog.ua/
37,4.2,341,4.19,1665,,Gas station,"ОВИС, ООО",https://maps.google.com/?cid=12904657983692955640,"Klochkivska St, 98А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://ovis.ua/
38,4.2,240,4.186,6488,,Gas station,АЗК БРСМ Нафта - Turbota Pro,https://maps.google.com/?cid=8200355973019478883,"Yuvileinyi Ave, 45А, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
39,4.2,109,4.172,7373,,Gas station,Б-СЕТЬ ( АЗС-АГЗС 61044),https://maps.google.com/?cid=1439259721097244884,"вулиця, Heroiv Kharkova Ave, 259/3, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://www.instagram.com/b.set.kharkov/
40,4.2,66,4.159,521,,Gas station,АЗС SVR,https://maps.google.com/?cid=3856895637798529090,"Teatral'nyi Ln, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://svr.com.ua/
41,4.1,236,4.094,3195,,Gas station,Azs Brsm,https://maps.google.com/?cid=10101512687294715546,"Liubovi Maloj Ave, 2Г, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
42,4.1,186,4.092,4878,,Gas station,Автокомплекс Max Oil,https://maps.google.com/?cid=4220456253980301659,"Aerokosmichnyi Ave, 174, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://maxoil.kharkov.ua/
43,4.1,148,4.091,4557,,Gas station,Azs Ukrhazvydobuvannya,https://maps.google.com/?cid=6306126998127255521,"Mykoly Aleksina Ln, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
44,4.1,117,4.089,962,,Gas station,AMIC Energy,https://maps.google.com/?cid=7237049615250084678,"Netichenska naberezhna, 12, Kharkiv, Kharkiv Oblast, Ukraine, 61000",http://amicenergy.com.ua/
45,4.1,91,4.086,1019,,Gas station,Glusco,https://maps.google.com/?cid=11337993157419754168,"Shevchenka St, 9 м, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
46,4.1,63,4.081,3420,,Gas station,B-Setʹ,https://maps.google.com/?cid=15456881158307628610,"Kharkiv, Kharkiv Oblast, Ukraine, 61000",
47,4.1,45,4.076,4064,,Gas station,UKRNAFTA,https://maps.google.com/?cid=6637751678447341015,"8GXRX7QQ+V3Q UKRNAFTA, Akademika Pavlova St, 44/51, Kharkiv, Kharkiv Oblast, Ukraine, 61038",https://ukrnafta.com/
48,4.1,0,0,3079,,Gas station,Okko,https://maps.google.com/?cid=8898811021899790366,"Moiseivska St, 40, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://www.okko.ua/
49,4.1,0,0,1691,,Gas station,B-Setʹ,https://maps.google.com/?cid=16876872429734832492,"Hrekivska St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
50,4,541,4.001,2542,,Gas station,АЗК БРСМ Нафта -Turbota Pro,https://maps.google.com/?cid=3384302235512389764,"Matyushenka St, 13, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
51,4,352,4.001,5462,,Gas station,БРСМ Нафта,https://maps.google.com/?cid=8221195876283491019,"Derevianka St, 1в, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://brsm-nafta.com/
52,4,223,4.002,2390,,Gas station,"Azs ""Market""",https://maps.google.com/?cid=14280991960557310562,"Kuzinska St, г. Харьков, Kharkiv Oblast, Ukraine, 61000",http://azs-market.com.ua/
53,4,63,4.005,3810,,Gas station,АЗК SOCAR,https://maps.google.com/?cid=2471548421311255922,"Otakara Yarosha St, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://socar.ua/
54,4,2,4.02,2520,,Gas station,Автостанция,https://maps.google.com/?cid=10803141469590426818,"Валерьяновская ул., 122a, Kharkiv, Kharkiv Oblast, Ukraine, 61000",
55,4,2,4.02,8277,,Gas station,UKRNAFTA,https://maps.google.com/?cid=16243043366311914267,"8GXRX43M+63X UKRNAFTA, Novo-Bavarskyj Ave, 137-Б, Kharkiv, Kharkiv Oblast, Ukraine, 61000",https://ukrnafta.com/
