rank,rating,reviews,weighted_score,dist_m,price,category,title,maps_url,address,web
1,5,227,4.956,180,₺200–400,Cafe,CaFe LoKaL,https://maps.google.com/?cid=17577290888492262537,"Andifli, Gursoy sokak no:4, 07580 Kaş/Antalya, Türkiye",http://cafelokal.com.tr/
2,5,93,4.904,178,"₺800–1,000",Bar,Gülşen Beach Cafe Bar & Restaurant,https://maps.google.com/?cid=6520840195053710059,"Gülşen Beach, Andifli, Hastane caddesi No:21, 07580 Kaş/Antalya, Türkiye",
3,4.9,425,4.88,134,,Hotel,Hotel Sonne,https://maps.google.com/?cid=12836535150012702059,"No:6, Andifli, Yeni Cami Cd., 07580 Kaş/Antalya, Türkiye",http://sonnehotel.com.tr/
4,4.9,306,4.873,162,₺400–800,Vegan restaurant,Refresh Vegan Kitchen,https://maps.google.com/?cid=17442362223195379288,"Andifli, Öztürk Sk. No:13 D:B, 07580 Kaş/Antalya, Türkiye",
5,4.9,216,4.863,138,₺200–800,Cafe,Heybe Cafe,https://maps.google.com/?cid=2457872045942080008,"Andifli, 15 Temmuz Demokrasi Meydanı No:15, 07580 Kaş/Antalya, Türkiye",
6,4.9,199,4.86,140,₺600–800,Pizza restaurant,Luwian Pizza,https://maps.google.com/?cid=9453520734728710412,"Andifli, Bilginler Sk. No:7/B, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/luwianpizzakas?igsh=bDhoNXBuMmVqbDgw
7,4.9,171,4.854,500,,Restaurant,37 Restaurant,https://maps.google.com/?cid=9720553438783028391,"Andifli, Koza Sk. No:10, 07580 Kaş/Antalya, Türkiye",
8,4.9,20,4.68,186,"₺600–1,200",Cafe,Coffee Shop Galerie,https://maps.google.com/?cid=4038768038581929307,"İbrahim Serin caddesl Andifli mahallesi 14 Kaş, 07580 Andlfli/Antalya, Türkiye",
9,4.8,914,4.793,213,₺400–600,Falafel restaurant,Kaş Gurme Falafel,https://maps.google.com/?cid=13234106242917998952,"Andifli, 2 sokak no:3/A, 07580 Kaş/Antalya, Türkiye",
10,4.8,858,4.792,248,"₺600–1,400",Meat dish restaurant,Bekos kitchen,https://maps.google.com/?cid=16876209377119158428,"Andifli, Hükümet Cd. No:8, 07580 Kaş/Antalya, Türkiye",
11,4.8,716,4.791,281,,Hotel,Hideaway Hotel,https://maps.google.com/?cid=14936938527211211740,"Andifli, Anfi Tiyatro Sk. No:7, 07580 Kaş/Antalya, Türkiye",http://hotelhideaway.com/
12,4.8,562,4.788,225,"₺800–1,000",Cafe,Giant Stride Shop & Cafe & Bar,https://maps.google.com/?cid=7247608459840612576,"Andifli, Cukurbağlılar Cd No:8/1, 07580 Kaş/Antalya, Türkiye",https://www.giantstride.com.tr/
13,4.8,467,4.786,197,"₺600–1,400",Restaurant,Rolling Rolls — Sushi & Noodle,https://maps.google.com/?cid=1749060015897302294,"Andifli, Bilginler Sk. No:15, 07580 Kaş/Antalya, Türkiye",https://www.rollingrolls.co/
14,4.8,158,4.762,166,,Meyhane,Adria Tavern,https://maps.google.com/?cid=602280784467635539,"Andifli, Öztürk Sk. 8 - 3, 07580 Kaş/Antalya, Türkiye",
15,4.8,37,4.68,495,₺300–400,Asian restaurant,"Asian kitchen, only delivery, no walk in.",https://maps.google.com/?cid=16572730328241740059,"Andifli mah, Bariş Sok, Dis kapi 7, Ic kapi 2, Serife Cinar Sitesi, 07580 Kaş/Antalya, Türkiye",https://instagram.com/secretgarden_kas
16,4.8,33,4.671,360,₺200–400,Fast food restaurant,Garaj tantuni tost,https://maps.google.com/?cid=10477975949267059336,"bus station, Andifli, 07580 Kaş/Antalya, Türkiye",
17,4.8,0,0,212,,Meyhane,Ehlikeyf Meyhanesi Kaş,https://maps.google.com/?cid=17607131764236019752,"Andifli, Hükümet Cd. No:3, 07580 Kaş/Antalya, Türkiye",
18,4.8,0,0,42,,Pizza restaurant,Pi'Casa,https://maps.google.com/?cid=3465894796432284696,"Andifli, Atatürk Blv. No:8C, 07580 Kaş/Antalya, Türkiye",
19,4.8,0,0,146,,Fish restaurant,Etna Fish House,https://maps.google.com/?cid=15928963227304356877,"upper house) otel yanı, Andifli, Öztürk Sk. no:17 D:F, 07580 Kaş/Antalya, Türkiye",http://etnafishhouse.com/
20,4.7,1871,4.697,115,₺400–600,Dumpling restaurant,Kaşık Mantı Ev Yemekleri,https://maps.google.com/?cid=8917724624112615330,"Andifli, Cumhuriyet Meydanı No:12, 07580 Kaş/Antalya, Türkiye",
21,4.7,1485,4.697,180,"₺600–1,400",Restaurant,Naturel,https://maps.google.com/?cid=784414971818241153,"Andifli Mh. Uzun Çarşı Gürsoy Sok. No:6, 07580 Kaş/Antalya, Türkiye",https://www.naturelrestoran.com/
22,4.7,1451,4.697,86,₺400–600,Restaurant,Emre Restaurant,https://maps.google.com/?cid=9721085259388312209,"Andifli, Bahçe Sk. 1 / B, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/emrerestaurantkas
23,4.7,1338,4.696,215,₺400–600,Fast food restaurant,Hold&Bite,https://maps.google.com/?cid=13222477623446880999,"Andifli, Cukurbağlılar Cd No:4/A, 07580 Kaş/Antalya, Türkiye",
24,4.7,1195,4.696,196,"₺600–1,600",Restaurant,Cafe Corner Restaurant,https://maps.google.com/?cid=14671539824267686950,"Andifli, İbrahim Serin Cd. No:20, 07580 Kaş/Antalya, Türkiye",
25,4.7,1184,4.696,242,"₺800–2,000",Restaurant,Salkım Ocakbaşı Meyhane Kaş,https://maps.google.com/?cid=17387163888230028333,"Andifli, Süleyman Sandıkçı Sk. No:13, 07580 Kaş/Antalya, Türkiye",
26,4.7,1085,4.696,377,,Pasta shop,La Moda Cafe fresh pasta and pizza&italyan mutfağı,https://maps.google.com/?cid=6763301635250487412,"Migros market, Andifli Mah Hediye hanım sokak, karşısı no 10, 07580 Kaş/Antalya, Türkiye",
27,4.7,866,4.695,129,"₺400–1,000",Restaurant,Frida Pub,https://maps.google.com/?cid=3998676729466785093,"Andifli, Öztürk Sk. No: 4 D:1, 07580 Kaş/Antalya, Türkiye",http://www.fridapub.com/
28,4.7,826,4.694,126,"₺800–1,600",Pan-Asian restaurant,Sushi Kaşhi (Asian cuisine wok and sushi Chinese and japanese,https://maps.google.com/?cid=17823321299131034205,"Andifli, Cumhuriyet Meydanı No:14, 07580 Kaş/Antalya, Türkiye",https://webmenu.pardonapp.co/sushi-kashi
29,4.7,715,4.693,166,₺400–800,Kebab shop,Kaş Kuruköprü Çorbacısı,https://maps.google.com/?cid=17737956386195091606,"Andifli, Öztürk Sk. No:9 07580, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/kaskurukopru/
30,4.7,675,4.693,212,₺400–600,Pizza restaurant,Pizza Porto,https://maps.google.com/?cid=8747843243827575187,"Andifli, Çukurbağ Sk No:1, 07580 Kaş/Antalya, Türkiye",
31,4.7,613,4.692,144,₺400–800,Cocktail bar,Krabs Cocktail & Kitchen,https://maps.google.com/?cid=9969640207082288705,"Andifli, Bahçe Sk. no:9/B, 07580 Kaş/Antalya, Türkiye",
32,4.7,524,4.691,176,"₺1,000+",Restaurant,Sardunya Restaurant,https://maps.google.com/?cid=6711024486204877275,"Andifli, Necipbey Cd. No:20, 07580 Kaş/Antalya, Türkiye",http://www.sardunyaotel.com.tr/
33,4.7,491,4.691,261,"₺2,000+",Restaurant,Tellina Restaurant,https://maps.google.com/?cid=7150620700231352781,"Andifli, Hükümet Cd. No:7, 07580 Kaş/Antalya, Türkiye",
34,4.7,79,4.651,113,₺200–400,Kofta restaurant,Likya food&drink,https://maps.google.com/?cid=13404768154530047224,"Andifli, Bilginler Sk. No:2A/B D:C, 07580 Kaş/Antalya, Türkiye",
35,4.7,0,0,218,,Restaurant,Keyf-i dem Kaş,https://maps.google.com/?cid=3346051064182445738,"Andifli, Hükümet Cd. No:4, 07580 Kaş/Antalya, Türkiye",
36,4.7,0,0,189,,Restaurant,Sempati Türk Mutfağı,https://maps.google.com/?cid=12956146436529871978,"Andifli, Uzun carsı gürsoy sokak no 11, 07580 Kaş/Antalya, Türkiye",
37,4.6,3320,4.599,162,₺600–800,Fast food restaurant,Bunbun Kaş,https://maps.google.com/?cid=17964668602782817808,"Andifli, Hastane Caddesi NO:22, 07580 Kaş/Antalya, Türkiye",http://bunbunkas.com/
38,4.6,1943,4.599,229,"₺1,000+",Grill,Müpptela Ocakbaşı,https://maps.google.com/?cid=1132293606731432164,"Andifli, İlkokul Sk. No:17 D:1, 07580 Kaş/Antalya, Türkiye",https://mupptelaocakbasi.com/
39,4.6,1891,4.599,127,₺400–800,Kofta restaurant,Bay Köfte,https://maps.google.com/?cid=14848080195986496801,"15 temmuz demokrasi meydanı 16/A andifli mah.07580, 07580 Kaş/Antalya, Türkiye",
40,4.6,1324,4.598,279,,Cafe,GODO COFFEE & MORE,https://maps.google.com/?cid=2301602780227348342,"Andifli, Arısan Sk. No, 07580 Kaş/Antalya, Türkiye",http://www.godocoffeeandmore.com/
41,4.6,1202,4.598,265,"₺1,200–1,400",Restaurant,Leymona Beach & Restaurant & Bar,https://maps.google.com/?cid=8889970475001586444,"Andifli, Hastane Caddesi No:33, 07580 Kaş/Antalya, Türkiye",http://www.leymonabeach.com/
42,4.6,1115,4.598,39,₺400–600,Fast food restaurant,Aperatif,https://maps.google.com/?cid=7174438007266710705,"Andifli, Necipbey Cd., 07580 Kaş/Antalya, Türkiye",
43,4.6,600,4.595,212,₺400–600,Chophouse restaurant,KAŞ GÜLŞEN,https://maps.google.com/?cid=14613807534023867118,"Andifli, Atatürk Blv. NO:30/A, 07580 Kaş/Antalya, Türkiye",
44,4.6,530,4.595,203,₺400–600,Breakfast restaurant,Taşbahçe Kahvaltı ve Kafe,https://maps.google.com/?cid=11660183459092206906,"Andifli, Çukurbağlılar 2 sokak No 3, 07580 Kaş/Antalya, Türkiye",
45,4.6,432,4.594,285,"₺1,000+",Japanese restaurant,Koi Sushi & More,https://maps.google.com/?cid=3692811423955866662,"Andifli, Anfi Tiyatro Sk., 07580 Kaş/Antalya, Türkiye",https://www.koisushikas.com/
46,4.6,376,4.593,208,"₺400–1,400",Restaurant,Fıchı Restaurant,https://maps.google.com/?cid=10838159341767671233,"PTT Yanı, Andifli, İbrahim Serin Cd. No:22, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/fichirestaurant/
47,4.6,343,4.592,274,"₺600–1,400",Pizza restaurant,Fabio Pizzeria – Kaş’ta Geleneksel Pizza & İtalyan Mutfağı,https://maps.google.com/?cid=195702486855817744,"Andifli, Yeni Cami Cd. No:23, 07580 Kaş/Antalya, Türkiye",https://www.fabiopizzeria.com/
48,4.6,160,4.584,152,,Restaurant,Mj's Omakase Sushi Bar,https://maps.google.com/?cid=16184698141926455733,"Andifli, Bahçe Sk. No: 9A, 07580 Kaş/Antalya, Türkiye",https://www.allzinapp.com/profile/mjomakase
49,4.6,84,4.573,109,₺200–300,Bistro,Del Mare Kaş - Cafe & Bistro,https://maps.google.com/?cid=10424520259030849717,"Andifli, Emin Erdem Meydanı 17 A/B, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/delmare.kas/
50,4.6,0,0,240,,Restaurant,Dudu Mutfak,https://maps.google.com/?cid=18134711414719596273,"Andifli, Süleyman Sandıkçı Sk. No:1/3, 07580 Kaş/Antalya, Türkiye",
51,4.6,0,0,194,,Restaurant,Ally's Restaurant,https://maps.google.com/?cid=16089990108992102667,"Andifli, Gürsoy Sokak No:13, 07580 Kaş/Antalya, Türkiye",https://allyrestaurant.com/
52,4.5,1618,4.5,238,"₺2,000+",Restaurant,Nazende Restaurant,https://maps.google.com/?cid=16328044449217019252,"Andifli, Süleyman Sandıkçı Sk. No:3, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/nazendekas/
53,4.5,1602,4.499,250,"₺1,000+",Restaurant,Maşuk Meyhane Kaş,https://maps.google.com/?cid=14674212264252295448,"Hükümet Cad, Liman Sk. Yanı sahil güvenlik yanı No:6, 07580 Kaş/Antalya, Türkiye",
54,4.5,1391,4.499,153,"₺600–1,600",Turkish restaurant,Cinarlar pizza Garden restaurant,https://maps.google.com/?cid=9127203810297123454,"Andifli, İbrahim Serin Cd. no 10, 07580 Kaş/Antalya, Türkiye",
55,4.5,1328,4.499,117,₺600–800,Italian restaurant,Bella Vita Ristorante,https://maps.google.com/?cid=8335720393112536475,"15/2, Andifli, 07580 Kaş/Antalya, Türkiye",
56,4.5,936,4.499,24,"₺400–1,200",Turkish restaurant,Ora Kebap secret Garden,https://maps.google.com/?cid=15960237348389128559,"Andifli, Liman Sk. 4 B, 07580 Kaş/Antalya, Türkiye",
57,4.5,764,4.499,157,₺400–600,Pizza restaurant,Lily's Corner,https://maps.google.com/?cid=11693768654619934037,"Andifli, Öztürk Sk. No:13, 07580 Kaş/Antalya, Türkiye",http://www.lilyscorner.com.tr/
58,4.5,669,4.499,409,"₺2,000+",Restaurant,Çi neo cucina by mezetaryen,https://maps.google.com/?cid=9019517120884030875,"Andifli, Uğur Mumcu Cd. no:23, 07580 Kaş/Antalya, Türkiye",http://www.cineocucina.com/
59,4.5,528,4.499,182,₺200–600,Restaurant,Havana Et Balık Evi Restaurant,https://maps.google.com/?cid=4671638088933824999,"Andifli, Nevzat Hacı Velioğlu Sk No:3/A, 07580 Kaş/Antalya, Türkiye",https://instagram.com/havana_et_balk_evi07
60,4.5,479,4.498,251,"₺1,000–2,000",Turkish restaurant,BAHÇE RESTAURANT,https://maps.google.com/?cid=4134492852572709836,"Andifli, Uzun çarşı Caddesi No:33, 07580 Kaş/Antalya, Türkiye",https://bahcerestaurantkas.com/
61,4.5,409,4.498,161,$$,Beach club,The Kaş Beach,https://maps.google.com/?cid=4962371664606225958,"andifli mh., hastane cd, Necipbey Cd. no:15, 07580 Kaş/Antalya, Türkiye",http://www.thekasbeach.com/
62,4.5,275,4.497,102,₺600–800,Bar,Hideaway Bar&Cafe,https://maps.google.com/?cid=13803967220673180667,"Andifli, Cumhuriyet Meydanı No:16 D:B, 07580 Kaş/Antalya, Türkiye",
63,4.5,250,4.497,135,₺400–600,Kebab shop,Mehmet Usta Kebap - Balık - Çıtır Balık - Balık Ekmek,https://maps.google.com/?cid=6720452490305546942,"Andifli Mah. 15 Temmuz Demokrasi (Emin Erdem) Meydanı Belediye Dükkânları 10, D:B, 07580 Kaş/Antalya, Türkiye",
64,4.5,228,4.497,270,"₺1,000+",Restaurant,Cedre Restoran & Kokteyl,https://maps.google.com/?cid=13019659314915119255,"Andifli, Hükümet Cd. No:10/2, 07580 Kaş/Antalya, Türkiye",http://qr.cedre.com.tr/
65,4.5,58,4.49,199,,Restaurant,Carnivore Steakhouse,https://maps.google.com/?cid=16615066533164683761,"Andifli, 07580 Kaş/Antalya, Türkiye",
66,4.4,1302,4.401,280,"₺2,000+",French restaurant,L'Apéro Kaş,https://maps.google.com/?cid=559557378026760942,"Andifli, Doğruyol Cd. No:1, 07580 Kaş/Antalya, Türkiye",
67,4.4,1250,4.401,285,"₺2,000+",Meyhane,Voyn Meyhane,https://maps.google.com/?cid=18082066107719440190,"Andifli, Hükümet Cd., 07580 Kaş/Antalya, Türkiye",
68,4.4,984,4.401,261,"₺2,000+",Restaurant,Demeti Kaş,https://maps.google.com/?cid=14129230013448682537,"Andifli, Süleyman Sandıkçı Sk. No:18/1, 07580 Kaş/Antalya, Türkiye",http://demetikas.com/
69,4.4,885,4.401,140,₺400–600,Restaurant,Butka,https://maps.google.com/?cid=10694448819619915749,"Andifli, Öztürk Sk. no:15/2, 07580 Kaş/Antalya, Türkiye",
70,4.4,690,4.402,146,"₺1,000+",Meyhane,Tzatziki Meyhane,https://maps.google.com/?cid=6780741994378077817,"Andifli, Öztürk Sk. 4/3, 07580 Kaş/Antalya, Türkiye",https://tzatziki.com.tr/
71,4.4,608,4.402,187,"₺2,000+",Restaurant,MANOS GREEK TAVERN KAŞ,https://maps.google.com/?cid=11340545615926710046,"Andifli, 1. Çukurbağlılar Sk. No:3/E, 07530 Kaş/Antalya, Türkiye",
72,4.4,421,4.403,154,"₺600–1,400",Restaurant,Meydan Cafe Restaurant,https://maps.google.com/?cid=5508927249766435880,"Andifi, Doğruyol Cd, O7580, 07580 Kaş/Antalya, Türkiye",
73,4.4,332,4.403,302,₺200–400,Sfiha restaurant,Kaptan Pide Lahmacun & Pizza Restaurant,https://maps.google.com/?cid=17751229122479489334,"Andifli, Uğur Mumcu Cd., 07580 Kaş/Antalya, Türkiye",
74,4.3,1649,4.302,395,"₺400–1,400",Restaurant,Bi Lokma Restaurant,https://maps.google.com/?cid=17743608535066283664,"Andifli, Uğur Mumcu Cd. No:21, 07580 Kaş/Antalya, Türkiye",http://www.bilokma.com.tr/
75,4.3,1503,4.302,253,"₺1,000+",Restaurant,Ruhibey Meyhanesi 1949,https://maps.google.com/?cid=5899928038832284663,"Andifli, Süleyman Sandıkçı Sk., 07580 Kaş/Antalya, Türkiye",http://www.ruhibeymeyhanesi.com/
76,4.3,1307,4.302,219,"₺1,000+",Breakfast restaurant,Pell's Gece Gündüz Lezzet,https://maps.google.com/?cid=3030570759667609746,"Andifli, Zümrüt Sk. No: 5/1, 07580 Kaş/Antalya, Türkiye",http://pells.com.tr/
77,4.3,798,4.304,255,"₺1,000+",Restaurant,Bay Rıza,https://maps.google.com/?cid=5797554204031682147,"Andifli, Süleyman Sandıkçı Sk. No:10, 07580 Kaş/Antalya, Türkiye",
78,4.3,452,4.307,57,₺200–400,Restaurant,Yalı Restaurant,https://maps.google.com/?cid=4688352943965962260,"Andifli, Atatürk Blv., 07580 Kaş/Antalya, Türkiye",
79,4.3,315,4.31,202,,Steak house,Maya Steak House,https://maps.google.com/?cid=15676621221777887668,"Andifli, Uzunçarşı caddesi No 17, 07580 Kaş/Antalya, Türkiye",
80,4.3,3,4.439,222,,Restaurant,Maaide Restaurant Kaş,https://maps.google.com/?cid=1554679839650296014,"Andifli, Cukurbağlılar Cd No:7e, 07580 Kaş/Antalya, Türkiye",
81,4.2,1302,4.204,141,₺400–600,Turkish restaurant,Cadde Restaurant,https://maps.google.com/?cid=16751101863268703458,"Andifli, Atatürk Blv., 07580 Kaş/Antalya, Türkiye",
82,4.2,1136,4.204,187,₺200–400,Restaurant,Kervan pide ve döner salonu,https://maps.google.com/?cid=5627218337032992253,"Atatürk Bulvarı | İş Bankası ve Ziraat Bankası Yanı, Kaş 07580, Türkiye, 07580 Kaş/Antalya, Türkiye",https://www.facebook.com/kervan.kas.9?fref=ts
83,4.2,986,4.205,103,"₺200–1,000",Turkish restaurant,Yeşil Restaurant,https://maps.google.com/?cid=2488493811424385076,"Andifli, Atatürk Blv. 11 / 1, 07580 Kaş/Antalya, Türkiye",https://www.instagram.com/yesil_restaurant?igsh=OG42azJ3ZGVyenpr
84,4.2,960,4.205,242,"₺2,000+",Restaurant,Dolphin Restaurant,https://maps.google.com/?cid=9063246489701939576,"Andifli, Süleyman Sandıkçı Sk. No:7, 07580 Kaş/Antalya, Türkiye",
85,4.2,942,4.205,242,,Meal delivery,Ege Restaurant Taner Usta,https://maps.google.com/?cid=12254880162859966578,"Andifli, Atatürk Blv., 07580 Kaş/Antalya, Türkiye",
86,4.1,1321,4.105,193,"₺1,000+",Meyhane,Yelken Restaurant & Meyhane,https://maps.google.com/?cid=12611660619095744433,"Andifli, Hükümet Cd. No:2/C, 07580 Kaş/Antalya, Türkiye",
87,4.1,896,4.108,308,₺400–600,Restaurant,Kaşım Restaurant Ev Yemekleri,https://maps.google.com/?cid=14326292462196167071,"Andifli, Hükümet Cd. kaymakamlık karşısı No:12, 07580 Kaş/Antalya, Türkiye",
88,4.1,142,4.144,116,"₺800–1,000",Restaurant,Kaş Asma6 Restaurant Beach Bar & Cafe,https://maps.google.com/?cid=10867048242711661783,"Andifli, Liman Sk. No:24, 07010 Kaş/Antalya, Türkiye",https://asma6kas.com/
